time,temperature_2m_max,temperature_2m_min,windspeed_10m_max,precipitation_sum
2023-08-01,26.6,17.5,13.0,1.6
2023-08-02,26.6,17.7,13.2,1.3
2023-08-03,28.1,18.0,10.7,2.1
2023-08-04,29.8,17.6,8.6,0.0
2023-08-05,31.2,17.7,13.4,0.0
2023-08-06,34.8,21.5,27.9,0.0
2023-08-07,33.7,22.5,31.8,0.2
2023-08-08,26.2,17.6,14.9,0.0
2023-08-09,24.3,17.0,14.1,1.9
2023-08-10,28.2,15.6,20.0,9.9
2023-08-11,27.6,20.0,22.0,17.4
2023-08-12,22.6,16.5,18.1,1.1
2023-08-13,25.5,14.6,12.3,0.1
2023-08-14,27.0,14.4,10.2,0.0
2023-08-15,29.2,15.7,10.0,0.0
2023-08-16,28.8,17.4,14.7,0.0
2023-08-17,27.5,17.2,14.2,0.0
2023-08-18,29.2,17.0,16.3,0.2
2023-08-19,32.7,19.9,12.7,0.0
2023-08-20,32.9,18.9,10.5,0.0
2023-08-21,27.6,18.5,17.1,0.5
2023-08-22,26.2,15.9,28.4,0.4
2023-08-23,24.1,15.4,20.7,0.0
2023-08-24,24.0,13.2,16.8,0.0
2023-08-25,23.9,13.2,13.2,0.2
2023-08-26,25.5,12.6,9.0,0.0
2023-08-27,29.2,18.5,11.6,0.1
2023-08-28,30.0,18.3,13.1,0.0
2023-08-29,26.6,17.8,12.2,0.0
2023-08-30,27.4,17.1,13.3,0.0
2023-08-31,28.5,14.6,16.1,0.0
2023-09-01,29.2,16.5,16.1,0.0
2023-09-02,24.9,16.9,19.9,0.0
2023-09-03,24.9,13.4,15.0,0.0
2023-09-04,25.9,14.6,21.8,0.0
2023-09-05,24.5,15.9,16.9,1.2
2023-09-06,24.9,13.9,15.8,0.0
2023-09-07,21.0,12.1,20.4,0.0
2023-09-08,20.8,8.1,20.7,0.0
2023-09-09,16.5,9.1,23.5,0.0
2023-09-10,18.8,8.2,18.5,0.0
2023-09-11,21.4,10.0,11.4,0.0
2023-09-12,21.4,10.2,10.6,0.0
2023-09-13,21.1,8.3,10.3,0.0
2023-09-14,21.1,8.2,13.4,0.0
2023-09-15,13.9,10.9,18.4,24.1
2023-09-16,21.1,8.6,13.8,0.0
2023-09-17,22.1,10.1,9.8,0.0
2023-09-18,23.2,9.6,10.1,0.0
2023-09-19,24.1,10.9,10.2,0.0
2023-09-20,24.7,10.1,18.1,0.0
2023-09-21,24.2,11.4,13.5,0.0
2023-09-22,25.4,12.4,20.9,0.0
2023-09-23,25.3,13.6,23.2,0.0
2023-09-24,25.9,13.1,18.1,0.0
2023-09-25,25.8,10.1,12.7,0.0
2023-09-26,25.5,12.0,10.9,0.0
2023-09-27,26.1,11.1,12.9,0.0
2023-09-28,25.4,12.7,13.1,0.0
2023-09-29,24.5,11.0,10.0,0.0
2023-09-30,24.6,8.1,9.8,0.0
2023-10-01,25.1,9.2,13.6,0.0
2023-10-02,17.0,11.1,20.3,0.4
2023-10-03,16.9,7.8,16.7,0.0
2023-10-04,20.8,6.3,22.0,0.0
2023-10-05,17.9,9.4,20.8,0.0
2023-10-06,15.2,7.6,30.6,2.1
2023-10-07,14.3,3.2,31.4,7.4
2023-10-08,13.4,6.2,28.9,6.6
2023-10-09,7.3,3.0,35.3,0.1
2023-10-10,9.4,1.5,23.5,0.1
2023-10-11,8.5,-1.8,16.3,0.0
2023-10-12,14.9,3.5,30.8,0.0
2023-10-13,16.5,6.8,22.9,1.5
2023-10-14,16.6,4.1,16.6,0.0
2023-10-15,19.0,8.8,21.2,0.0
2023-10-16,13.7,4.6,28.6,11.5
2023-10-17,8.9,2.5,27.9,0.5
2023-10-18,10.6,0.8,21.1,0.0
2023-10-19,11.4,4.1,20.2,0.3
2023-10-20,14.4,8.9,26.9,22.8
2023-10-21,15.1,5.8,23.4,1.9
2023-10-22,13.0,4.6,18.0,0.0
2023-10-23,18.5,10.1,23.8,2.3
2023-10-24,12.6,6.3,22.8,1.2
2023-10-25,9.2,2.0,26.9,11.0
2023-10-26,11.8,7.6,27.9,6.3
2023-10-27,15.1,9.2,19.7,3.1
2023-10-28,17.9,9.7,43.1,6.4
2023-10-29,11.4,4.5,25.8,0.0
2023-10-30,17.1,3.2,23.3,0.0
2023-10-31,18.1,9.6,17.8,0.0
2023-11-01,17.5,8.1,16.6,10.7
2023-11-02,13.3,4.1,23.5,5.4
2023-11-03,10.7,1.3,17.8,0.0
2023-11-04,13.9,8.5,29.4,1.1
2023-11-05,16.5,10.4,30.6,3.3
2023-11-06,14.8,9.2,19.6,5.4
2023-11-07,12.7,6.4,24.5,0.0
2023-11-08,12.2,5.6,22.8,9.2
2023-11-09,11.1,5.6,33.1,0.4
2023-11-10,8.1,3.1,18.0,0.0
2023-11-11,7.8,0.9,26.2,2.3
2023-11-12,12.4,7.6,33.8,7.0
2023-11-13,7.9,3.0,24.0,0.2
2023-11-14,8.1,0.4,20.8,3.3
2023-11-15,9.4,4.9,20.6,2.7
2023-11-16,8.1,3.0,13.7,1.7
2023-11-17,5.9,3.0,15.5,5.8
2023-11-18,2.8,-4.1,21.9,0.0
2023-11-19,1.7,-4.0,23.4,2.2
2023-11-20,0.4,-4.6,21.3,10.9
2023-11-21,-4.6,-13.3,16.3,0.0
2023-11-22,-5.1,-13.6,12.5,0.4
2023-11-23,-1.7,-8.2,28.9,0.5
2023-11-24,3.8,-0.9,29.3,3.4
2023-11-25,1.9,-1.2,15.8,0.9
2023-11-26,7.7,0.2,22.9,26.5
2023-11-27,6.3,-2.8,37.3,4.9
2023-11-28,0.1,-5.3,20.0,0.3
2023-11-29,5.2,-0.3,34.8,13.2
2023-11-30,0.9,-4.8,20.1,0.2
2023-12-01,3.7,-4.9,25.0,7.4
2023-12-02,-0.2,-1.4,19.5,1.7
2023-12-03,8.4,-2.5,23.9,1.2
2023-12-04,-1.4,-4.9,22.3,0.0
2023-12-05,-0.4,-4.2,13.7,0.0
2023-12-06,-0.1,-4.9,17.3,0.0
2023-12-07,-1.8,-3.5,22.4,0.3
2023-12-08,-2.3,-4.0,26.6,1.9
2023-12-09,-1.6,-4.0,20.7,1.1
2023-12-10,-2.0,-3.8,16.5,0.9
2023-12-11,-1.4,-4.5,14.8,3.1
